标题,评分,评分人数,导演,主演,类型,上映日期,片长,剧情简介,海报图片,制片国家/地区,语言,又名,IMDb,豆瓣url,集数
第八个嫌疑人,6.0,172091,李子俊,"大鹏, 林家栋, 张颂文, 齐溪, 孙阳, 衣云鹤, 邵胜杰, 王梓尘, 徐锦明, 王建兵, 刘占奎, 常垚","剧情, 犯罪",2023-09-09(中国大陆),111分钟,"一九九五年，广东发生一起大型武装劫钞案，一辆银行运钞车被五名持枪匪徒抢劫，损失高达一千五百万，三名押钞员更在事件中丧生。事件震惊全国，公安局马上成立专案组，以王守月（林家栋 饰）和何蓝（张颂文 饰）为首的刑警迅速搜证，成功掌握五名抢匪去向并逐一拘捕。叫人意外的是，抢匪供出案件背后的真正策划者，竟是一家建筑公司的老板陈信文（大鹏 饰）及其堂弟陈欣年（孙阳 饰）。
                                    
                                　　陈信文和陈欣年功败垂成，踏上逃亡之路，从此人间蒸发。时间一晃二十一年，当年的案件早已淡出大众的视野，王守月也从公安局退休。然而，一条寻常不过的视频上出现的一个模糊身影，却让他重燃破案的希望。王守月只身前往边境城市，寻找视频中的“陌生人”。最后的正邪对决，在二十一年后正式展开。",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2897543922.jpg,中国大陆 / 中国香港,汉语普通话 / 粤语,第8个嫌疑人 / Dust To Dust,tt11000406,https://movie.douban.com/subject/34436452/,1
神探大战 神探大戰,6.7,306768,韦家辉,"刘青云, 蔡卓妍, 林峯, 李若彤, 谭凯, 陈家乐, 汤怡, 何珮瑜, 吴浩康, 洪天明, 车婉婉, 斌子, 李菁, 马志威, 杨天宇, 胡子彤, 朱鉴然, 马睿瀚","动作, 悬疑, 犯罪",2022-07-08(中国大陆),101分钟(中国大陆),"原O记刑警李俊（刘青云 饰）是一名痴迷于破案而对个人生活全然不顾的人，因疏于对家里的照顾，最终妻子抑郁症自杀，在此之后李俊也变得疯疯癫癫，胡言乱语。魔警案后，更是为了办案枪指同袍而被驱逐出警察队伍。17年后，一伙神秘青年连续犯下骇人听闻的杀人案，这些案件无一例外在复刻许多年前轰动一时的案件，而且受害者均为当年案件的嫌疑人，此外他们还会在一起案件后留下下一起案件的卷宗号。显而易见，这更像有组织的受害者遗属复仇事件。在此期间，已经露宿大桥下的李俊精准预测了每次复仇的时间和地点，这令西九的女警陈仪（蔡卓妍 饰）大为叹服，也引起陈仪的同侪兼老公方礼信（林峯 饰）以及李俊的旧搭档黄欣（李若彤 饰）的猜疑。
                                    
                                　　夜幕降临，大雨滂沱，一场神探大战拉开帷幕……",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2875702766.jpg,中国香港 / 中国大陆,汉语普通话 / 粤语,Detective VS. Sleuths / Cold Detective,tt10283270,https://movie.douban.com/subject/26995893/,1
看不见影子的少年,7.1,37357,周全,"张颂文, 荣梓杉, 成泰燊, 陈雨锶, 李健, 郭柯宇, 赵华为, 曾宥臻, 葛四, 王沛禄, 李易祥, 雷丰瑞, 张珊萌, 姜寒, 曹磊","剧情, 悬疑, 犯罪",2024-06-06(中国大陆),45分钟,"讲述了一个“失孤”的刑警与一个“没有身份”的孤儿之间，从对立到相互救赎，一起探寻真相走向光明的情感悬疑故事。
                                    
                                　　一个孤独坚毅的警察，一个野蛮生长的少年，一场不期而遇的纠葛……在一个个失踪谜案交织着谋杀的阴谋逐渐浮出水面之后，迎来的会是暴风骤雨还是风平浪静？是互相救赎还是不可饶恕？恶意也许就在一瞬之间，而遗忘却是如此漫长。在彩虹出现之前，一段过不去的过去，两位不放弃的父亲，三个揪着心的家庭，都在等待一个答案……",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2907285613.jpg,中国大陆,汉语普通话,被老虎机吃掉的少年 / Lost in the Shadows,tt29363640,https://movie.douban.com/subject/36282652/,16
瑞灵顿街惊魂 Rillington Place,7.3,4743,克雷格·比贝洛斯,"蒂姆·罗斯, 萨曼莎·莫顿, 蒂姆·本廷克, 索妮娅·卡西迪, 朱迪·科默, 斯蒂文·埃尔德, 尼克·迈瑞莱格伦, 莱恩·罗, 克里斯·雷利",剧情,2016-11-29(英国),60分钟,"BBC预订一部3集，以1949-50年代，伦敦诺丁山的连环杀人事件迷你剧《瑞灵顿街惊魂 Rillington Place》。Ed Whitmore及Tracey Malone负责编剧，3月底开拍。
                                        
                                    　　《瑞灵顿街惊魂 Rillington Place》是根据真人真事改篇，讲 述瑞灵顿街10号中（有部1971年电影曾描述此案），凶手John Christie﹑他的妻子Ethel及邻居Timothy Evans皆出现在剧中，探讨他们之间的关系﹑司法不公引致的悲剧及因此令英国废除死刑。
                                        
                                    　　John Christie至少在他的住所绞杀了8个女人，包括他的妻子Ethel，其中3人被发现藏在厨房里，他因为杀妻而被定罪及被判绞刑。但可惜的是在此前他的邻居Timothy Evans被错误起诉，指他杀了自己妻子Beryl及女儿Geraldine，Timothy Evans在...",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2406741730.jpg,英国,英语,瑞灵顿凶案,tt5568438,https://movie.douban.com/subject/26723783/,3
猩球崛起：新世界 Kingdom of the Planet of the Apes,6.3,43305,韦斯·鲍尔,"欧文·泰格, 弗蕾娅·艾伦, 凯文·杜兰, 彼德·梅肯, 威廉姆·H·梅西, 艾卡·达维尔, 特拉维斯·杰弗里, 莉迪亚·佩克汉, 尼尔·桑迪兰兹, 迪辰·拉克曼, 拉斯-塞缪尔·瓦尔达布兹, 萨拉·怀斯曼, 卡琳·考诺娃, 尼娜·加拉斯, Olga Miller, Zay Domo Artist, Dmitriy Miller, Anastasia Miller","动作, 科幻, 冒险",2024-05-10(美国/中国大陆),145分钟,故事设定在“猿流感”病毒蔓延全球的背景下，人类几近毁灭，而进化为高级智慧生物的猿类一跃成为食物链顶端的王者。时移世异，暴虐的猿类首领赛撒（凯文·杜兰 Kevin Durand 饰）在一片废墟中建立起猿族历史上的第一个帝国——“猩球”崛起，这是世界新秩序诞生的黎明时分。神秘的人类女孩诺娃（弗蕾娅·艾伦 Freya Allan 饰）的出现，引起了赛撒的警觉。她似乎掌握着一个巨大的秘密，不仅关乎人类的存亡，甚至可能再度颠覆整个“猩球”。被迫逃亡的诺娃在躲避赛撒军队的过程中，与青年猿类诺亚（欧文·泰格 Owen Teague 饰）的命运交汇，揭开了一段冒险的旅程。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2905957300.jpg,美国,英语,猩球崛起4：新世界 / 猿人争霸战：猩凶帝国(港) / 猩球崛起：王国诞生(台) / 猩球崛起：王国 / 猩球崛起4 / 猩球王国 / 人猿星球国度 / 新人猿星球 / Planet of the Apes 4,tt11389872,https://movie.douban.com/subject/36069854/,1
猎罪图鉴,7.6,356323,邢键钧,"檀健次, 金世佳, 张柏嘉, 朱嘉琦, 陆妍淇, 秦海璐, 房子斌, 张陆, 金丰, 刘美彤, 武笑羽, 张籽沐, 冯兵, 柳明明, 米咪, 蔡珩, 马吟吟, 林乐炫, 屠芷莹, 徐敏, 李雅男, 陈碧舸, 马波, 田原, 王骁, 朱刚日尧, 于明加, 章涛, 傅淼, 王晴, 蒋龙, 林晓凡, 孙立韬, 芦宏, 安亚, 许歌, 张圣岳, 曾柯琅, 冷海铭, 张燕, 李斌, 徐海为, 于恒, 陈诗敏, 晨阳, 徐艺瑄, 孙乐天, 王小伟, 葛兆美, 王屿, 孙梦佳, 孙延笙, 墨阳, 黄毅, 张芯宁, 孙斌, 曹苏苏, 徐崴罗, 王雅婷, 王雅琴, 彭亚辉, 王彬, 何南, 戴明, 古铭璐, 孟凡珏, 王萧琪, 黄泽伟, 卢生伟, 李楠, 夏奇, 贾巍, 姜蓉, 李静一, 苗苗, 李宏磊, 小苹果, 陈卓, 张思佳, 雷珊, 毕瀚文, 吴明, 韩姝妹, 袁国政, 潘彦妃, 梓恒, 吴岱恒, 刘诗颖, 程蓝镜, 陆萍, 闫京黎, 叶清风, 阮样华, 刘文贤, 钟楠, 吴宇, 楚淡然, 冯子文, 陶陶, 赵杰, 廖宝升, 黄伟业, 姚鹏程, 郭茹楠, 李意衡, 孙绍峰, 尹王鑫, 陈泽杨, 郑涵瑞, 周了钶, 徐彤瑞, 王靖丰, 杨毅春, 李睿竑, 曹存, 魏博, 尹腾喆, 刘文杰, 赖建萍, 廖成霖, 王浩东, 许恒华, 符昊, 钟林煜, 杜瑞森, 赫乾坤, 张磊, 张成名, 嫣新雨, 敬波奇, 丑敬元, 沈昕, 郑东川, 陈诗慧, 苏文文, 王沈兰, 刘伊, 赵紫卉, 展昊, 朱国涛, 张文希, 毕洁浩, 汤文静, 高原, 王亚平, 程小刚, 张恒, 郭心仪, 谷雨, 俞庆, 汪洪, 林一凡","悬疑, 犯罪",2022-03-06(中国大陆),45分钟,该剧讲述了因一起尘封旧案而结怨的模拟画像师沈翊和刑警队长杜城，在机缘巧合下被迫搭档，两人联手侦破多起离奇疑案，共同追踪谜底真相的故事。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2869230669.jpg,中国大陆,汉语普通话,Under the Skin,tt18774086,https://movie.douban.com/subject/35307437/,20
特殊病人 The Patient,6.2,591,克里斯·朗,"史蒂夫·卡瑞尔, 多姆纳尔·格里森, 安德鲁·里德斯, 大卫·艾兰·格里尔, 琳达·伊蒙, 劳拉·尼米, 亚力克斯·里奇, 杰克·布罗德, 蒂姆伦森, 埃文·沙夫兰, Gordon Tarpley, Diane Kelber, Renata Friedman, Amy Handelman, David Moskowitz, Nick Alvarez","剧情, 悬疑, 惊悚",2022-08-30(美国),30分钟,故事讲述心理治疗师Alexander Strauss最近刚失去了妻子，在他理智且善解人意的表面下，是自己还未深入正视的痛苦和失去。一名连环杀手囚禁了Alexander，并提出了不同寻常的要求：抑制他的杀人欲望。但是，在剖析此人思想的同时，他也在应对自己压抑的心魔所带来的冲击，这一 过程也许和他的囚禁处境一样危险。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2876171210.jpg,美国,英语,理智与杀欲之间 / 病人,tt15574312,https://movie.douban.com/subject/35617527/,10
燃冬,5.5,116313,陈哲艺,"周冬雨, 刘昊然, 屈楚萧, 魏如光, 白沙","剧情, 爱情",2023-08-22(中国大陆),97分钟,延吉是中国北方边境的一个小镇，从上海来参加婚礼的浩丰（刘昊然 饰）感到有些迷茫。一次偶然的机会，他遇到了娜娜（周冬雨 饰），一个让他着迷的年轻导游。她把他介绍给一个厨师朋友韩萧（屈楚萧 饰），他们三个人很快就因为韩萧的一顿饭而结下了友谊。这次热烈的接触使他们面对自己的过去和秘密，他们沉睡的欲望慢慢解开，就像长白山的风景和雪林一样。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2894025389.jpg,中国大陆,汉语普通话 / 朝鲜语,The Breaking Ice / Un hiver à Yanji ​​​,tt17052842,https://movie.douban.com/subject/35672437/,1
灭亡 Eradication,4.1,257,Daniel Byers,"Anita Abdinezhad, Harry Aspinwall, Christian Masters","惊悚, 恐怖",2022-07-30(美国),,"When an unknown disease wipes out most of the world's population, a man with unique blood is isolated for study. Fearing for his wife's safety, he breaks his quarantine - into a world overrun by monstrous Infected and a shadowy agency hunting them down.",https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2876419101.jpg,美国,英语,无,tt20835552,https://movie.douban.com/subject/36000035/,1
火影忍者 -博人传- 次世代继承者 BORUTO-ボルト- NARUTO NEXT GENERATIONS,4.7,14645,阿部记之,"三瓶由布子, 菊池心, 木岛隆一, 小野贤章, 阿部敦, 早见沙织","动画, 冒险",2017-04-05(日本),24分钟,"随着和平的到来而走向近代化的木叶忍者村。高楼林立，巨大显示屏中播放出影像，连结各区域的电车在村里奔驰。虽说是忍者村，但一般民众也增多，忍者的生存方式也在逐渐改变的这个时代——
                                    
                                　　村子的领袖，第七代火影·漩涡鸣人的儿子慕留人，进入了培育忍者的学校“忍者学校”。周围的学生们带着“火影的儿子”这样偏见的目光看待慕留人，但慕留人凭借天生的破天荒性格将这种小事轻松越过！
                                    
                                　　慕留人与新的伙伴相遇，他将如何挑战突然发生的神秘事件？
                                    
                                　　在众人心中如疾风般狂奔的“漩涡慕留人”的物语，现在开始！！",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2435877226.jpg,日本,日语,博人传 火影忍者新时代,tt6342474,https://movie.douban.com/subject/26937481/,1
潘神的迷宫 El laberinto del fauno,7.9,246847,吉尔莫·德尔·托罗,"伊万娜·巴克罗, 塞尔希·洛佩斯, 玛丽维尔·贝尔杜, 道格·琼斯, 阿里亚德娜·希尔, 亚历克斯·安克吕罗, 曼诺罗·索洛, 罗杰·卡萨马杰, 伊万·马萨格, 干沙路·乌里亚特, 塞巴斯蒂安·哈罗, Mila Espiga, Pepa Pedroche, 查尼·马丁, 米洛·塔波阿达, 费尔南多·阿尔比祖, 乔斯·路易斯·托里霍, 因尼哥·加塞斯, 费尔南多·提尔弗, 费德里科·路皮, Eduardo Aránega, Eusebio Lázaro, Juanjo Cucalón, Francisco Vidal, Lina Mira, César Vea","剧情, 战争, 奇幻",2006-10-11(西班牙),118分钟(英国),"12岁女孩子奥菲丽娅（伊万娜•巴克尔洛 饰）有一个凶暴的法西斯军官继父维达（塞吉•洛佩兹 饰），维达的任务就是镇压反抗者，研究各种刑具来折磨残害被抓来的异见人士，奥菲丽娅每天都目睹让人不愉快的事件。眼看着冷酷的继父和其党羽每日作恶还以此为乐，母亲又身怀六甲患病在床，被孤独感和目睹暴行的痛苦困扰的奥菲丽娅开始沉浸在自己的幻想中聊以自慰。
                                    
                                　　一天，奥菲丽娅遇到了迷宫的守护者，潘神（道格•琼斯 饰）。潘神告诉她，她其实是奇幻王国失踪的公主，要想恢复身份，必须通过三个危险的考验。",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2655686372.jpg,西班牙 / 墨西哥,西班牙语,魔间迷宫(港) / 羊男的迷宫(台) / 潘的迷宫 / 奇幻迷宫 / Pan's Labyrinth,tt0457430,https://movie.douban.com/subject/1767042/,1
潘多拉：被操纵的乐园 판도라: 조작된 낙원,6.0,1647,崔英勋,"李智雅, 李相仑, 张熙珍, 朴基雄, 奉太奎","剧情, 犯罪",2023-03-11(韩国),60 分钟,"李智雅、李尚允、张熙珍、朴基雄、奉太奎 tvN周末电视剧 《Lady》已更名为《潘多拉：伪造的乐园》，发布剧本研读视频 3月首播
                                    
                                　　该片由《上流社会》《Good Casting》《一个女人》崔英勋导演执导，《顶楼》金顺玉编剧提供创意，玄智敏编剧执笔，3月播出。
                                    
                                　　讲述为了守护家人一定要成为“最高”的女人激烈的生存故事。直面完美忘记的残酷过往真相的女人，去惩罚随心所欲动弹自己命运的人们因此进行强烈又凄惨的复仇。",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2889248524.jpg,韩国,韩语,潘朵拉: 伪造的乐园 / 潘多拉：伪造的乐园 / Pandora: Beneath The Paradise / Lady / 퍼스트레이디 / 레이디,tt26314750,https://movie.douban.com/subject/35922761/,16
消失的她,6.2,928788,崔睿,"朱一龙, 倪妮, 文咏珊, 杜江, 黄子琪, 柯国庆, 孟芷旭, 张诣文含, 祝海钰, 于诚群, 陈孟奇, 迪马·沙斗, 建康","悬疑, 犯罪",2023-06-22(中国大陆),121 分钟,"东南亚某国，年轻男子何非（朱一龙 饰）疯狂寻找失踪的妻子李木子，然而当地警局视若罔闻，令他出离愤怒。可就在某个清晨，何非突然发现身边躺着一名陌生女子，更令他毛骨悚然的是，女子居然声称是他的妻子李木子（文咏珊 饰）。慌乱之余，何找来华人警察郑成（杜江 饰），试图揭穿假冒者的骗局，谁知种种迹象表明，对面的陌生人真实不虚。隐隐之中，何非认为妻子被犯罪团伙绑架，他只得求助干练的金牌律师陈麦（倪妮 饰）追索真相。在调查中过程中，细微线索逐渐浮出水面，而更加黑暗的真相也开始暴露在阳光之下……
                                    
                                　　本片改编自前苏联电影《为单身汉设下的陷阱》。",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2893270877.jpg,中国大陆,汉语普通话,为单身汉设下的陷阱 中国版 / Lost in the Stars,tt17507018,https://movie.douban.com/subject/35660795/,1
海上钢琴师 La leggenda del pianista sull'oceano,9.3,1747909,朱塞佩·托纳多雷,"蒂姆·罗斯, 普路特·泰勒·文斯, 比尔·努恩, 克兰伦斯·威廉姆斯三世, 梅兰尼·蒂埃里, 皮特·沃恩, 尼尔·奥布赖恩, 阿尔贝托·巴斯克斯, 加布里埃莱·拉维亚, 科里·巴克, 西德尼·科尔, Luigi De Luca, 尼古拉·迪·平托, 费米·依鲁福祖, 伊斯顿·盖奇, 凯文·麦克纳利, 布莱恩·普林格, 沙拉·鲁宾, 希思科特·威廉姆斯, 阿妮妲·扎格利亚, 安吉洛·迪洛雷塔","剧情, 音乐",2019-11-15(中国大陆),165分钟,"本片讲述了一个钢琴天才传奇的一生。
                                    
                                　　1900年，Virginian号豪华邮轮上，一个孤儿被遗弃在头等舱，由船上的水手抚养长大，取名1900（蒂姆•罗斯 饰）。1900慢慢长大，显示出了无师自通的非凡钢琴天赋，在船上的乐队表演钢琴，每个听过他演奏的人，都被深深打动。爵士乐鼻祖杰尼听说了1900的高超技艺，专门上船和他比赛，最后自叹弗如，黯然离去。
                                    
                                　　可惜，这一切的事情都发生在海上，1900从来不愿踏上陆地，直到有一天，他爱上了一个女孩，情愫在琴键上流淌。他会不会为了爱情，踏上陆地开始新的生活，用他的琴声惊艳世界？他将怎样谱写自己非凡的人生。",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg,意大利,英语 / 法语 / 意大利语,声光伴我飞(港) / 一九零零的传奇 / 1900海上钢琴师 / 传奇1900 / The Legend of 1900 / The Legend Of The Pianist On The Ocean,tt0120731,https://movie.douban.com/subject/1292001/,1
浪客剑心 るろうに剣心,8.1,99160,大友启史,"佐藤健, 武井咲, 吉川晃司, 苍井优, 青木崇高, 绫野刚, 田中伟登, 奥田瑛二, 江口洋介, 香川照之, 平田薰","剧情, 动作, 古装",2012-08-25(日本),134分钟,"经历了动荡的明治维新，日本迎来新的时代。在明治政府第十个年头，不祥的气息弥漫东京。恶德实业家武田观柳（香川照之 饰）操纵女医师高荷惠（苍井优 饰）研制新型鸦片，公开招揽落魄武夫，大肆收购周边土地，有条不紊地实现他的狼子野心。在此期间，以刽子手拔刀斋之名滥杀无辜的鹈堂刃卫（吉川晃司 饰）引起了前新選组头目斋藤一（江口洋介 饰）的注意，也迫令隐姓埋名多年的拔刀斋本尊绯村剑心（佐藤健 饰）登场。寄居在神谷道场的绯村渐渐融入神谷薫（武井咲 饰）和周边庶民的平和生活之中。然而武田欲壑难平，为了保护善良的人，剑心不得不拔出逆刃刀和相乐佐之助（青木崇高 饰）勇闯虎穴……
                                    
                                　　本片根据漫画家和月伸宏的经典原作改编。",https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1811862671.jpg,日本,日语,神剑闯江湖(台) / Rurôni Kenshin: Meiji kenkaku roman tan,tt1979319,https://movie.douban.com/subject/6558801/,1
沙丘 Dune,7.7,712881,丹尼斯·维伦纽瓦,"提莫西·查拉梅, 丽贝卡·弗格森, 奥斯卡·伊萨克, 戴夫·巴蒂斯塔, 赞达亚, 杰森·莫玛, 乔什·布洛林, 哈维尔·巴登, 斯特兰·斯卡斯加德, 夏洛特·兰普林, 大卫·达斯马齐连, 莎伦·邓肯-布鲁斯特, 斯蒂芬·亨德森, 迈克尔·纳尔多内, 张震, 巴布斯·奥卢桑莫昆, 奥利弗·瑞安, 查理·罗尔斯, 格洛里亚·奥比安约, 保罗·布林, 比约恩·弗赖贝格","剧情, 科幻, 冒险",2021-10-22(美国/中国大陆),156分钟,电影《沙丘》为观众呈现了一段神秘而感人至深的英雄之旅。天赋异禀的少年保罗·厄崔迪（提莫西·查拉梅 饰）被命运指引，为了保卫自己的家族和人民，决心前往浩瀚宇宙间最危险的星球，开启一场惊心动魄的冒险。与此同时，各路势力为了抢夺这颗星球上一种能够释放人类最大潜力的珍贵资源而纷纷加入战场。最终，唯有那些能够战胜内心恐惧的人才能生存下去。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2687443734.jpg,美国,英语 / 汉语普通话,沙丘瀚战(港) / Dune: Part One,tt1160419,https://movie.douban.com/subject/3001114/,1
死神来了 Final Destination,7.9,348456,黄毅瑜,"戴文·萨瓦, 艾丽·拉特, 科尔·史密斯, 克里斯汀·克洛克, 丹尼尔·洛巴克, 罗杰·格午埃文·史密斯, 查德·多纳拉, 西恩·威廉·斯科特, 托尼·托德, 阿曼达·达特曼, 布兰登·费尔, Forbes Angus, Lisa Marie Caruk, 克里斯汀·查特莱恩, 芭芭拉·泰森","惊悚, 恐怖",2000-03-17(美国),98 分钟,"剧情惊险恐怖，环环相扣。高中生艾利克斯-伯朗宁（德文•萨瓦 Devon Sawa  饰）与7名同班同学登机前往巴黎。起飞前，他突然预感到恐怖的一幕：飞机将会在空中爆炸。艾利克斯非常惊恐，大喊飞机即将出事，大家要立刻下机，结果混乱中他和其余6名乘客被机组人员赶了出来。但是，被艾利克斯不幸言中，飞机在半空中爆炸，全部人员罹难。
                                    
                                　　所有下了机的人都在庆幸大难不死，却不知死神还是不愿放过他们。接下来，等待他们的将会是更恐怖的死亡方式和更难逃脱的死亡命运。而艾利克斯又能从各人的死亡顺序里面发现什么秘密，在死神的魔爪中逃出生天？",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2867790676.jpg,美国 / 加拿大,英语 / 法语,绝命终结站(台) / 终点,tt0195714,https://movie.douban.com/subject/1300300/,1
哈兰·科本的庇护所 Harlan Coben's Shelter,6.1,275,爱德华·奥尼拉斯,"杰登·迈克尔, 康斯坦斯·齐默, 阿德里安·格林斯密斯, 艾比·科里甘, Sage Linder, Brian Altemus, Lee Aaron Rosen, Hunter Emery, Antonio Cipriano, 托芙·菲尔德舒, 米西·派勒, 迪迪·康恩, 阿历萨·马雷卡, Samantha Bugliaro, Manuel Uriza, 克里斯托弗·普拉哈, 斯蒂芬妮·玛奇, 奥宾·怀斯, 杰弗里·坎特尔, 詹·雅各布, Dennis Fitzpatrick, Kate Edmonds, 罗宾·S·沃克, 彼得·里格特, 阿德里安娜·巴比欧, 本·格兰尼, 卫斯理·韩","剧情, 惊悚",2023-08-18(美国),,"The story of Mickey Bolitar and his new life with a mom in rehab, a dead father, an annoying aunt, and a new school in New Jersey.",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2897035945.jpg,美国,英语,无,tt15483276,https://movie.douban.com/subject/36330983/,8
模范出租车 모범택시,8.2,69037,朴俊宇,"李帝勋, 李絮, 金义城, 表艺珍, 车智妍, 张赫镇, 裴侑蓝, 刘承睦, 李宥俊, 李浩哲",剧情,2021-04-09(韩国),65分钟,该剧改编自同名高分漫画，是有可能成为韩国本土化的英雄题材的电视剧，主要讲述代替别人复仇并完成自己的复仇计划的痛快复仇故事。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2637459961.jpg,韩国,韩语,模范计程车,tt13759970,https://movie.douban.com/subject/35231436/,16
模仿犯,7.4,81000,张荣吉,"吴慷仁, 柯佳嬿, 林心如, 庹宗华, 姚淳耀, 范少勋, 江宜蓉, 夏腾宏, 侯彦西, 汤志伟, 吴岱凌, 盛鉴, 刘亮佐, 黄河, 陆夏, 李亦捷, 陈博正, 曹芯瑜, 邱偲琹, 游安顺, 王真琳, 段钧豪, 郑家榆, 睦媄, 徐裕杰","剧情, 悬疑, 犯罪",2023-03-31(中国台湾),55分钟,"故事讲述1990年代中国台湾发生的连续杀人命案，揉合案件与媒体乱象。
                                    
                                　　剧集改编自日本作家宫部美幸的推理小说《模仿犯》。",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2887590312.jpg,中国台湾,汉语普通话,Copycat Killer,tt18382028,https://movie.douban.com/subject/35651927/,10
某一天 어느 날,7.7,20635,李明佑,"金秀贤, 车胜元","剧情, 悬疑, 犯罪",2021-11-27(韩国),60分钟,故事根据BBC剧集《司法正义》改编，讲述两个男人围绕一个女人被杀事件展开激烈斗争。金秀贤饰演一名大学生，因一夜的误会而成为了谋杀案的嫌疑人。车胜元饰演帮助这名大学生的律师。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2724115515.jpg,韩国,韩语,司法正义韩国翻拍版 / 那天晚上 / Criminal Justice / One Ordinary Day / 그날 밤,tt14170016,https://movie.douban.com/subject/35312901/,8
极线杀手 Polar,6.6,61626,乔纳斯·阿克伦德,"麦斯·米科尔森, 凡妮莎·哈金斯, 凯瑟琳·温妮克, 罗伯特·梅耶, 马特·卢卡斯, 露比·欧·菲, 阿伊莎·伊萨, 阿纳斯塔西娅·玛莉尼娜, 佩德罗·米盖尔·阿尔斯, 约翰尼·诺克斯维尔, 罗维娜·亚瓦里, 任霏, 克雷格·伯纳托夫斯基, 米歇尔·C·福柯",动作,2020-09-21(中国大陆网络),118分钟,世界上最强的杀手邓肯·维兹拉（绰号“黑凯撒”）即将退休，但前雇主认为他会成为公司的累赘。迫不得已的他只能重操旧业，对抗一伙年轻、敏捷、残忍的杀手，为了干掉邓肯，他们将不择手段。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2545437039.jpg,美国 / 德国,英语 / 俄语,极地(港) / 极线 / 极寒复出 / 极限特工,tt4139588,https://movie.douban.com/subject/27180599/,1
佛莱迪大战杰森 Freddy vs. Jason,6.5,11007,于仁泰,"罗伯特·英格兰德, 肯·科齐格, 莫尼卡·凯娜, 杰森·雷特, 凯莉·罗兰, 克里斯·马奎特, 布兰登·弗莱彻, 凯瑟琳·伊莎贝尔, 洛奇林·莫罗, 凯尔·拉比内, 汤姆·巴特勒, 大卫·科普, 保拉·肖, 杰西·哈奇, 扎克·沃德, 加里·切克, Spencer Stump, Joëlle Antonissen, 罗伯特·沙耶, 克里斯·高瑟, 科尔比·约翰森, Alex Green, Jamie Mayo, Blake Mawson, 韦弗·里库克, 艾琳·佩德, 伊万杰琳·莉莉, 扎拉·麦克道威尔, 奥斯卡·古铁雷斯","惊悚, 恐怖",2003-08-13(美国),97分钟,"佛莱迪（罗伯特·英格兰德 Robert Englund饰）和杰森（肯·克辛格Ken Kirzinger饰）都是两个大魔头：佛莱迪是一个“恶夜鬼王”，有潜入梦境控制他人意志的本领；而杰森则是“嗜血狂魔”，最爱肢解小孩。死于两人手下的冤魂不计其数。如今，不甘寂寞的佛莱迪又起 了杀人心瘾，他决定和杰森两人联袂，给春木镇一个血流成河的杀戮。
                                    
                                　　镇上居民在两个恶魔的屠杀下遭受血光之灾，佛莱迪和杰森两人也在疯狂的杀人中相互结仇。谁是杀戮王者谁拥有最多的地盘，两人心中早有芥蒂。几个年轻人在他们的魔爪面前，巧妙的利用了他们的弱点进行离间调拨，这招不仅救了自己，还挑起了佛莱迪和杰森之间的一场大战！",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1904247948.jpg,加拿大 / 美国,英语,猛鬼街8 / 鬼王再生 / 佛莱迪大战杰森之开膛破肚 / 十三号星期五半夜鬼上床 / FvJ,tt0329101,https://movie.douban.com/subject/1302429/,1
